Time:1Hz,Epoch,F4,Event Id,Event Date,Event Duration
42.6250000000,682,0.8789757647,,,
42.6875000000,683,0.9770444881,,,
42.7500000000,684,1.0399834012,,,
42.8125000000,685,1.2530482693,,,
42.8750000000,686,1.5638853708,,,
42.9375000000,687,1.7832214741,,,
43.0000000000,688,1.8023191310,,,
43.0625000000,689,1.7796786582,,,
43.1250000000,690,1.8643205325,,,
43.1875000000,691,1.8645716860,,,
43.2500000000,692,1.6665532308,,,
43.3125000000,693,1.6058173667,,,
43.3750000000,694,1.7368792472,,,
43.4375000000,695,1.8632354950,,,
43.5000000000,696,2.1425074100,,,
43.5625000000,697,2.4087356033,,,
43.6250000000,698,2.7240164455,,,
43.6875000000,699,2.5552979560,,,
43.7500000000,700,2.5735881565,,,
43.8125000000,701,2.2703728984,,,
43.8750000000,702,1.9754629248,,,
43.9375000000,703,1.7472839366,,,
44.0000000000,704,1.6578949501,,,
44.0625000000,705,1.6406024708,,,
44.1250000000,706,1.5715532701,,,
44.1875000000,707,1.5857510323,,,
44.2500000000,708,1.6919526342,,,
44.3125000000,709,1.7442213952,,,
44.3750000000,710,1.5913443780,,,
44.4375000000,711,1.5201879123,,,
44.5000000000,712,1.3802692979,,,
44.5625000000,713,1.3721255547,,,
44.6250000000,714,1.0282082735,,,
44.6875000000,715,1.0220419799,,,
44.7500000000,716,1.0303010570,,,
44.8125000000,717,1.4101929294,,,
44.8750000000,718,1.9106580187,,,
44.9375000000,719,2.3783805602,,,
45.0000000000,720,2.1805760071,,,
45.0625000000,721,1.8102564242,,,
45.1250000000,722,1.5623475578,,,
