Time:1Hz,Epoch,F3,F4,C3,Cz,C4,P3,P4,O1,O2,Event Id,Event Date,Event Duration
33.6875000000,539,8.1510846373,7.1562284447,1.1903789088,1.0794042225,0.6469399877,2.3516571763,3.8977875051,2.1550783459,5.7912599822,,,
33.7500000000,540,8.0955364561,7.0136671381,1.2042292630,1.1800424273,0.6067843858,2.3577179869,3.8742120855,2.1511695291,5.8106771681,,,
33.8125000000,541,7.8003694071,6.5870342605,1.2638357606,1.3707279762,0.5981857257,2.2337746465,3.8842059087,2.0388237650,5.7882259645,,,
33.8750000000,542,7.1550763358,6.0254918433,1.3266775256,1.5385922111,0.6113771856,2.1432462879,3.8128297288,1.8423337332,5.6337760597,,,
33.9375000000,543,6.3768440377,5.4877628045,1.3249481595,1.5325003144,0.6123502877,2.1325203317,3.6462256675,1.6322453684,5.1041232039,,,
34.0000000000,544,5.8379156648,5.2301587445,1.2864915419,1.6101066787,0.5892546889,2.2125416206,3.4724360166,1.6344470916,4.6847013007,,,
34.0625000000,545,5.7732501215,5.3843942015,1.2495846400,1.9575210045,0.5945551065,2.3987475686,3.4288823528,1.8968402649,4.5429635337,,,
34.1250000000,546,6.1366973983,5.7073787039,1.3270381981,2.3919479595,0.8345840829,2.6503650338,3.6662062992,2.0762505033,4.5558555692,,,
34.1875000000,547,6.4897471820,6.1885512955,1.6417280063,2.6428615868,1.2004216808,3.2258232995,3.8986418151,2.1395993948,4.6593182953,,,
34.2500000000,548,6.2646982721,6.9647234443,2.0127673472,2.7866436613,1.5310694917,4.4011420846,3.8744408058,2.0926480717,4.3226158298,,,
34.3125000000,549,6.2005459370,7.9318141376,2.2662731835,2.9442477811,1.8404736617,5.8393660197,3.7965930107,2.1220315900,3.8147401988,,,
34.3750000000,550,6.2666423362,8.9422044895,2.3499896155,3.0453898373,2.1801752208,7.0772939866,3.6234573801,2.3100633804,3.3107068294,,,
34.4375000000,551,6.8189236345,10.2425844703,2.3872754430,3.0091184269,2.4913416060,8.1505691499,3.7592531903,2.6436905309,3.0945075818,,,
34.5000000000,552,7.6480918415,11.9137328967,2.3979278236,2.9857136360,2.6713271452,9.0659879805,4.2192454597,3.2138737591,3.1939609946,,,
34.5625000000,553,8.0857349359,13.2218853984,2.5049528146,2.9962737133,2.8598428257,9.9719145419,4.4374664331,4.0040518546,2.9481009775,,,
34.6250000000,554,8.3551481424,13.7884593134,2.8503433616,3.0844779970,3.3131318838,11.0239451056,4.5630210533,4.8656164342,2.8447241263,,,
34.6875000000,555,9.0545678017,14.1249544734,3.1290202345,3.1687933911,3.7914198360,12.0681552162,4.6737298570,5.6248468580,2.8597534989,,,
34.7500000000,556,10.0002234741,14.7032986099,3.1842435741,3.2092788985,4.0258093160,13.0577547356,4.6311800672,6.2014708875,2.8361656547,,,
34.8125000000,557,10.5501560728,15.5059448140,3.1458308929,3.1602820804,4.1142023812,13.7024450975,4.5024551633,6.4940849584,2.6794075365,,,
34.8750000000,558,10.6577304044,16.1307499645,3.1393391582,3.1016661065,4.1871971863,13.8612038195,4.4333475560,6.5480035663,2.3783629523,,,
34.9375000000,559,10.9526897368,16.5345801139,3.1588482888,3.1263172900,4.3281253082,13.8313254004,4.5937996879,6.5065035227,2.2484513533,,,
35.0000000000,560,11.3569919839,16.6858709541,3.2162484771,3.0400464775,4.4660318497,13.7683375259,5.0410498622,6.3238265545,2.2703709913,,,
35.0625000000,561,11.2036846358,16.4937393202,3.2348960942,2.7364264567,4.4772356784,13.6006352782,5.2453839959,6.0728630553,2.2737477790,,,
